experiment,cell_id,n,p,q,alpha,cv_method,correction,rejects,B,seed
phase3_size_grid,n2000_a0.5_p100,2000,100,1000,0.5,tw,johnstone2009,1106,20000,20260823
phase3_size_grid,n2000_a0.5_p100,2000,100,1000,0.5,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.7_p1,2000,1,1399,0.7,exact_jacobi,johnstone2009,1083,20000,20260823
phase3_size_grid,n2000_a0.7_p1,2000,1,1399,0.7,tw,johnstone2009,866,20000,20260823
phase3_size_grid,n2000_a0.7_p1,2000,1,1399,0.7,naive_chi2,none,18,20000,20260823
phase3_size_grid,n2000_a0.7_p2,2000,2,1399,0.7,exact_jacobi,johnstone2009,1171,20000,20260823
phase3_size_grid,n2000_a0.7_p2,2000,2,1399,0.7,tw,johnstone2009,940,20000,20260823
phase3_size_grid,n2000_a0.7_p2,2000,2,1399,0.7,naive_chi2,none,96,20000,20260823
phase3_size_grid,n2000_a0.7_p5,2000,5,1399,0.7,exact_jacobi,johnstone2009,962,20000,20260823
phase3_size_grid,n2000_a0.7_p5,2000,5,1399,0.7,tw,johnstone2009,1021,20000,20260823
phase3_size_grid,n2000_a0.7_p5,2000,5,1399,0.7,naive_chi2,none,2748,20000,20260823
phase3_size_grid,n2000_a0.7_p25,2000,25,1399,0.7,exact_jacobi,johnstone2009,1224,20000,20260823
phase3_size_grid,n2000_a0.7_p25,2000,25,1399,0.7,tw,johnstone2009,1162,20000,20260823
phase3_size_grid,n2000_a0.7_p25,2000,25,1399,0.7,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.7_p100,2000,100,1399,0.7,exact_jacobi,johnstone2009,1331,20000,20260823
phase3_size_grid,n2000_a0.7_p100,2000,100,1399,0.7,tw,johnstone2009,1398,20000,20260823
phase3_size_grid,n2000_a0.7_p100,2000,100,1399,0.7,naive_chi2,none,20000,20000,20260823
phase3_size_grid,n2000_a0.9_p1,2000,1,1799,0.9,exact_jacobi,johnstone2009,1094,20000,20260823
phase3_size_grid,n2000_a0.9_p1,2000,1,1799,0.9,tw,johnstone2009,1104,20000,20260823
phase3_size_grid,n2000_a0.9_p1,2000,1,1799,0.9,naive_chi2,none,0,20000,20260823
phase3_size_grid,n2000_a0.9_p2,2000,2,1799,0.9,exact_jacobi,johnstone2009,1002,20000,20260823
phase3_size_grid,n2000_a0.9_p2,2000,2,1799,0.9,tw,johnstone2009,1213,20000,20260823
phase3_size_grid,n2000_a0.9_p2,2000,2,1799,0.9,naive_chi2,none,0,20000,20260823
phase3_size_grid,n2000_a0.9_p5,2000,5,1799,0.9,exact_jacobi,johnstone2009,1169,20000,20260823
phase3_size_grid,n2000_a0.9_p5,2000,5,1799,0.9,tw,johnstone2009,1334,20000,20260823
phase3_size_grid,n2000_a0.9_p5,2000,5,1799,0.9,naive_chi2,none,0,20000,20260823
phase3_size_grid,n2000_a0.9_p25,2000,25,1799,0.9,exact_jacobi,johnstone2009,1047,20000,20260823
phase3_size_grid,n2000_a0.9_p25,2000,25,1799,0.9,tw,johnstone2009,1586,20000,20260823
phase3_size_grid,n2000_a0.9_p25,2000,25,1799,0.9,naive_chi2,none,17873,20000,20260823
phase3_size_grid,n2000_a0.9_p100,2000,100,1799,0.9,exact_jacobi,johnstone2009,1423,20000,20260823
phase3_size_grid,n2000_a0.9_p100,2000,100,1799,0.9,tw,johnstone2009,2241,20000,20260823
phase3_size_grid,n2000_a0.9_p100,2000,100,1799,0.9,naive_chi2,none,20000,20000,20260823
