n,alpha,q,kappa,rho,theta,bias_mc,bias_se,bias_formula,rel_gap
2000,0.3,600,1.0,0.7071,0.4864,0.168911,0.000562,0.170108,-0.0070
2000,0.3,600,1.0,0.7071,0.5591,0.134169,0.000510,0.135281,-0.0082
2000,0.3,600,1.0,0.7071,0.6318,0.104224,0.000459,0.105229,-0.0095
2000,0.3,600,1.0,0.7071,0.7045,0.078153,0.000405,0.079033,-0.0111
2000,0.3,600,1.0,0.7071,0.7773,0.055227,0.000347,0.055966,-0.0132
2000,0.3,600,1.0,0.7071,0.85,0.034972,0.000281,0.035553,-0.0163
2000,0.3,600,2.0,0.8944,0.05,0.760631,0.000676,0.760931,-0.0004
2000,0.3,600,2.0,0.8944,0.1227,0.609268,0.000682,0.610030,-0.0012
2000,0.3,600,2.0,0.8944,0.1955,0.493129,0.000651,0.494151,-0.0021
2000,0.3,600,2.0,0.8944,0.2682,0.401445,0.000615,0.402597,-0.0029
2000,0.3,600,2.0,0.8944,0.3409,0.327149,0.000579,0.328342,-0.0036
2000,0.3,600,2.0,0.8944,0.4136,0.265734,0.000544,0.266908,-0.0044
2000,0.3,600,2.0,0.8944,0.4864,0.214058,0.000509,0.215172,-0.0052
2000,0.3,600,2.0,0.8944,0.5591,0.170093,0.000471,0.171118,-0.0060
2000,0.3,600,2.0,0.8944,0.6318,0.132189,0.000431,0.133105,-0.0069
2000,0.3,600,2.0,0.8944,0.7045,0.099179,0.000386,0.099970,-0.0079
2000,0.3,600,2.0,0.8944,0.7773,0.070140,0.000336,0.070793,-0.0092
2000,0.3,600,2.0,0.8944,0.85,0.044472,0.000276,0.044971,-0.0111
2000,0.5,1000,0.2,0.1961,0.05,0.177059,0.000936,0.177438,-0.0021
2000,0.5,1000,0.2,0.1961,0.1227,0.152786,0.000872,0.153249,-0.0030
2000,0.5,1000,0.2,0.1961,0.1955,0.131463,0.000812,0.131974,-0.0039
2000,0.5,1000,0.2,0.1961,0.2682,0.112630,0.000754,0.113167,-0.0047
2000,0.5,1000,0.2,0.1961,0.3409,0.095856,0.000699,0.096398,-0.0056
2000,0.5,1000,0.2,0.1961,0.4136,0.080821,0.000644,0.081354,-0.0066
