experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.01,0.0,0.07333333333333333,0.08,0.9039157326218943,0.8869708864609284,0.9188177389205257,0.901,300,20260823,0.0,0.15970898700037672
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.02,0.0,0.07333333333333333,0.08333333333333333,0.904626626821522,0.8853285419237134,0.9208197850501171,0.902,300,20260823,0.0,0.14500703307977925
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.04,0.0,0.11666666666666667,0.12,0.9057575856605256,0.8872852988896822,0.923423793972417,0.904,300,20260823,0.0,0.09845358925113357
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.07,0.0,0.10666666666666667,0.11,0.9088325062333775,0.8932382571884878,0.9228032299770365,0.907,300,20260823,0.0,0.105682076119899
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.1,0.0,0.12,0.12333333333333334,0.9100828505092442,0.8950074145697693,0.92745122872862,0.91,300,20260823,0.0,0.004879362722944425
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.15,0.0,0.17,0.18,0.9165993681172426,0.9020771600686227,0.9316946093694722,0.915,300,20260823,0.0,0.10000410187943876
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.22,0.0,0.25333333333333335,0.25666666666666665,0.9232284857692521,0.9078292521619216,0.9369711109423218,0.922,300,20260823,0.0,0.0829600454130385
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.32,0.0,0.42333333333333334,0.43666666666666665,0.9340149182935675,0.9213567628424179,0.945005104614277,0.932,300,20260823,0.0,0.15543472752977117
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.45,0.0,0.7033333333333334,0.71,0.9472956850324243,0.9349049765154517,0.956238971122007,0.9450000000000001,300,20260823,0.0,0.21726214612966777
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.62,0.0,0.9733333333333334,0.98,0.9617700857027778,0.9539131815299776,0.9690182854948681,0.962,300,20260823,0.0,0.03023571617418952
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.8,0.0,1.0,1.0,0.9804284356818084,0.9760903115330986,0.9839486914342428,0.98,300,20260823,0.04666666666666667,0.10651227703291166
phase3_power_surface,n250_a0.9_p1,250,1,224,0.9,0.93,0.0,1.0,1.0,0.9929436268225983,0.9913214099926806,0.9941575425999896,0.993,300,20260823,0.96,0.03894630353278039
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.01,0.0,0.07333333333333333,0.11333333333333333,0.9580956277065742,0.9498068479667151,0.9644463852151849,0.901,300,20260823,0.0,5.670474208674797
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.02,0.0,0.07666666666666666,0.10333333333333333,0.9556212724496282,0.9477817653847067,0.9628955698546924,0.902,300,20260823,0.0,5.232078669420999
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.04,0.0,0.13333333333333333,0.18,0.9581869953659982,0.9511579765442136,0.9660257073925528,0.904,300,20260823,0.0,5.474613841406074
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.07,0.0,0.14333333333333334,0.16666666666666666,0.9599132945746648,0.9516698748811703,0.9667528252098243,0.907,300,20260823,0.0,5.5294051688573145
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.1,0.0,0.22666666666666666,0.23666666666666666,0.9611637425740933,0.9536435338574469,0.9689075690924815,0.91,300,20260823,0.0,5.510324363653989
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.15,0.0,0.2733333333333333,0.35,0.9654391409933085,0.9599830812329306,0.9714418450318716,0.915,300,20260823,0.0,5.870020668352055
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.22,0.0,0.4766666666666667,0.57,0.9702897006175831,0.9649311643779528,0.9762993309852656,0.922,300,20260823,0.0033333333333333335,6.255836791946348
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.32,0.0,0.82,0.85,0.9772535382416282,0.9722374565556672,0.9821314857221364,0.932,300,20260823,0.03666666666666667,7.032976888246334
phase3_power_surface,n250_a0.9_p5,250,5,224,0.9,0.45,0.0,0.99,0.9966666666666667,0.9853684729368297,0.9824523222606538,0.9882744945323547,0.9450000000000001,300,20260823,0.23333333333333334,8.408619062971932
